animal_id,outcome_age_(years),has_name,is_adopted,sex_male,spay_neuter,cfa_approved,season_Fall,season_Spring,season_Summer,season_Winter,is_weekend,time_of_day_Afternoon,time_of_day_Closed,time_of_day_Morning,is_shorthair,is_solid_pattern,color_black,color_other,color_white
A678248,0.0821917808219178,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
A670616,16.0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
A683161,0.1643835616438356,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
A575091,4.0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
A688074,0.1643835616438356,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
A664952,0.2465753424657534,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0
A688011,3.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A644391,6.0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A688552,0.2465753424657534,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
A691086,0.0575342465753424,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A678917,0.0821917808219178,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
A679999,1.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
A677713,0.0383561643835616,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A664638,0.0821917808219178,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
A688558,0.6575342465753424,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A689477,0.7397260273972602,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A667144,0.821917808219178,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A689130,0.2465753424657534,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A687156,0.1643835616438356,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
A691709,0.2465753424657534,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A665661,0.3287671232876712,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1
A679781,0.0821917808219178,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A667187,0.3287671232876712,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
A681701,0.0082191780821917,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A685901,0.3287671232876712,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
A688808,0.0821917808219178,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
A677564,0.0575342465753424,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0
A686753,0.4931506849315068,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A681157,0.0821917808219178,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0
A688748,0.0575342465753424,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A671184,1.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
A692887,0.2465753424657534,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A691711,0.2465753424657534,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
A679410,0.0164383561643835,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
A664283,1.0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0
A679085,2.0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0
A673970,1.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0
A676600,6.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
A628628,2.0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0
A676541,1.0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0
A678653,0.0821917808219178,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
A678951,3.0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A668012,0.1643835616438356,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A678837,0.0575342465753424,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A690090,1.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
A677443,4.0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
A627272,1.0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0
A589009,4.0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0
A693245,11.0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
A679579,0.1643835616438356,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A674688,0.3287671232876712,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
A665668,10.0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1
A667007,0.2465753424657534,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
A675115,0.410958904109589,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
A664442,0.1643835616438356,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0
A689499,3.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
A666677,0.0958904109589041,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
A674737,0.1643835616438356,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
A674564,0.7397260273972602,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A676440,0.0191780821917808,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
A662822,0.1643835616438356,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
A677216,0.0767123287671232,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
